tag,prep_time_s,train_time_s,total_time_s,rmse,mae,r2,n_train,d,rmse_std,train_time_std,total_time_std
full,0.0,6.110268831253052,6.110268831253052,9.88678583351594,5.096395771476882,0.9860140768858061,28048,119,,,
jl_gauss_5_run0,0.0013189315795898438,1.2625839710235596,1.2639029026031494,72.70928580851877,54.07118669083967,0.24358411473589803,28048,5,,,
jl_gauss_5_run1,0.0019218921661376953,1.0221619606018066,1.0240838527679443,52.56412455430611,39.14882322066961,0.6046700162222942,28048,5,,,
jl_gauss_5_run2,0.0011110305786132812,0.9936347007751465,0.9947457313537598,56.89728620611451,39.83838234799674,0.5368048659111333,28048,5,,,
jl_gauss_5_run3,0.0010619163513183594,1.037696123123169,1.0387580394744873,48.87773532818499,35.44107913303819,0.6581756206572015,28048,5,,,
jl_gauss_5_run4,0.001177072525024414,0.9934439659118652,0.9946210384368896,54.72979552325566,38.84081541232707,0.5714233218621911,28048,5,,,
jl_gauss_5_mean,0.0013181686401367188,1.0619041442871093,1.063222312927246,57.15564548407601,,,28048,5,9.185220273468834,0.11378200127032959,0.11379608505740921
jl_gauss_15_run0,0.0015912055969238281,2.74920916557312,2.750800371170044,50.645698246162986,34.63633694733609,0.6330000463949972,28048,15,,,
jl_gauss_15_run1,0.001806020736694336,2.844367027282715,2.846173048019409,41.185361614820806,28.993276011172632,0.7573017469731151,28048,15,,,
jl_gauss_15_run2,0.0016820430755615234,2.7823691368103027,2.7840511798858643,47.72046272478359,33.39094401886624,0.6741706698593497,28048,15,,,
jl_gauss_15_run3,0.0018010139465332031,2.7833869457244873,2.7851879596710205,42.04237990666588,30.48373341092954,0.7470961342406099,28048,15,,,
jl_gauss_15_run4,0.0016551017761230469,2.8713481426239014,2.8730032444000244,45.65985917795367,32.3409284351678,0.7017022217916239,28048,15,,,
jl_gauss_15_mean,0.0017070770263671875,2.8061360836029055,2.8078431606292726,45.450752334077386,,,28048,15,3.936792303106352,0.05009312010353866,0.050120387797271015
jl_gauss_20_run0,0.0018589496612548828,3.841385841369629,3.843244791030884,48.60832243536293,33.41573782769623,0.661933490784065,28048,20,,,
jl_gauss_20_run1,0.0019199848175048828,3.884521007537842,3.8864409923553467,39.0471062328349,28.04536890995164,0.781848305270123,28048,20,,,
jl_gauss_20_run2,0.0019061565399169922,3.8041577339172363,3.8060638904571533,44.49900977752306,31.04558674974614,0.716677166221189,28048,20,,,
jl_gauss_20_run3,0.0017740726470947266,3.9465129375457764,3.948287010192871,40.90949861874807,29.241002520469827,0.7605420848670815,28048,20,,,
jl_gauss_20_run4,0.001905202865600586,3.9772753715515137,3.9791805744171143,43.53756193576403,30.51452908263871,0.728787879829734,28048,20,,,
jl_gauss_20_mean,0.001872873306274414,3.8907705783843993,3.892643451690674,43.3202998000466,,,28048,20,3.6562237703964033,0.07171119866910315,0.0716930920883157
jl_gauss_25_run0,0.0022721290588378906,4.643218994140625,4.645491123199463,42.9965791182051,29.73828252359579,0.7354859831418936,28048,25,,,
jl_gauss_25_run1,0.0020830631256103516,4.831156253814697,4.833239316940308,38.34449434598383,27.523889388633254,0.7896284953017128,28048,25,,,
jl_gauss_25_run2,0.002177715301513672,4.733852863311768,4.736030578613281,40.96892555646841,28.202969196072228,0.7598458853616294,28048,25,,,
jl_gauss_25_run3,0.0021469593048095703,4.895309925079346,4.897456884384155,38.78040643264205,27.747453971829827,0.7848181703803039,28048,25,,,
jl_gauss_25_run4,0.002232074737548828,4.988757848739624,4.990989923477173,42.383297322876444,29.769839198282074,0.7429779608836371,28048,25,,,
jl_gauss_25_mean,0.0021823883056640626,4.818459177017212,4.820641565322876,40.694740555235164,,,28048,25,2.08645599758589,0.13503355216461238,0.13501347725520177
sub_10,0.004262208938598633,0.5081150531768799,0.5123772621154785,13.387412075790694,6.693933721355595,0.9743566862365581,2804,119,,,
sub_25,0.0028600692749023438,1.4315860271453857,1.434446096420288,11.636820518433062,5.859030601065296,0.9806246500557166,7012,119,,,
sub_50,0.005278110504150391,3.2196831703186035,3.224961280822754,10.712380313217574,5.449543431898871,0.9835807676523273,14024,119,,,
