tag,train_time_s,rmse,n_train,d
full,6.52925181388855,9.88678583351594,28048,119
rp_5,1.0092742443084717,67.56912929304892,28048,5
rp_15,2.8549628257751465,49.50706314191811,28048,15
rp_20,3.7487800121307373,43.515288792782755,28048,20
rp_25,4.676864147186279,42.59455553740712,28048,25
sub_10,0.4991769790649414,13.38741207579069,2804,119
sub_25,1.4470269680023193,11.63682051843306,7012,119
sub_50,3.2753939628601074,10.712380313217574,14024,119
